case_uid,status,execution_time_ms,edge_coverage,depth,operators,input_shape,error_message,physical_duration_ms
fuzz_pt_4e5460fc,Success,1062.39,2365,2,"AvgPool2d,ReLU","[1, 6, 32, 256]",,2931.5575
fuzz_pt_9b7f981d,Crash,14.35,2004,1,Linear,"[64, 1771]",mat1 and mat2 shapes cannot be multiplied (64x1771 and 937x232),3306.902900000001
fuzz_pt_f1170952,Crash,8.44,3686,5,"ReLU,ReLU,MaxPool2d,Linear,AvgPool2d","[16, 44, 16, 256]",mat1 and mat2 shapes cannot be multiplied (5632x128 and 970x367),3667.7716
fuzz_pt_e363ed65,Crash,8.39,5357,6,"ReLU,ReLU,Conv2d,Linear,AvgPool2d,BatchNorm2d","[4, 18, 16, 32]","Given groups=1, weight of size [47, 45, 1, 1], expected input[4, 18, 16, 32] to have 45 channels, but got 18 channels instead",3411.908499999999
fuzz_pt_2326043a,Crash,1.0,4051,6,"Flatten,BatchNorm2d,ReLU,MaxPool2d,Conv2d,MaxPool2d","[4, 34, 128, 128]",expected 4D input (got 2D input),3389.3646000000003
fuzz_pt_8534ec88,Crash,2.22,2964,4,"ReLU,Flatten,MaxPool2d,AvgPool2d","[1, 3506]",non-empty 3D or 4D (batch mode) tensor expected for input,3469.3264999999974
fuzz_pt_056c7216,Success,22.08,1679,1,MaxPool2d,"[16, 63, 256, 128]",,3669.9273999999987
fuzz_pt_72134c22,Crash,26.0,3393,3,"ReLU,ReLU,Conv2d","[128, 41, 32, 128]","Given groups=1, weight of size [33, 5, 5, 5], expected input[128, 41, 32, 128] to have 5 channels, but got 41 channels instead",6808.734800000004
fuzz_pt_fde37e61,Crash,1.0,2914,3,"BatchNorm2d,AvgPool2d,ReLU","[256, 2324]",expected 4D input (got 2D input),3434.1963999999975
fuzz_pt_2dfc097d,Crash,1.51,1906,3,"ReLU,Flatten,BatchNorm2d","[128, 23, 64, 16]",expected 4D input (got 2D input),3500.368200000004
fuzz_pt_860c6f09,Crash,1.0,1641,2,"ReLU,Linear","[16, 50000]",mat1 and mat2 shapes cannot be multiplied (16x50000 and 972x602),3454.1425999999974
fuzz_pt_6a424df5,Crash,1.0,1782,1,Linear,"[1, 5, 128, 256]",mat1 and mat2 shapes cannot be multiplied (640x256 and 196x308),3485.033900000005
fuzz_pt_3facdad4,Crash,1.0,2306,2,"Flatten,Conv2d","[16, 29, 256, 32]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [16, 237568]",15015.822100000001
fuzz_pt_eb1d92d1,Success,1324.85,1800,1,Flatten,"[256, 2377]",,3158.1148
