case_uid,status,execution_time_ms,edge_coverage,depth,operators,input_shape,error_message
fuzz_pt_4e5460fc,Success,1062.39,2365,2,"AvgPool2d,ReLU","[1, 6, 32, 256]",None
fuzz_pt_9b7f981d,Crash,14.35,2004,1,Linear,"[64, 1771]",mat1 and mat2 shapes cannot be multiplied (64x1771 and 937x232)
fuzz_pt_f1170952,Crash,8.44,3686,5,"ReLU,ReLU,MaxPool2d,Linear,AvgPool2d","[16, 44, 16, 256]",mat1 and mat2 shapes cannot be multiplied (5632x128 and 970x367)
fuzz_pt_e363ed65,Crash,8.39,5357,6,"ReLU,ReLU,Conv2d,Linear,AvgPool2d,BatchNorm2d","[4, 18, 16, 32]","Given groups=1, weight of size [47, 45, 1, 1], expected input[4, 18, 16, 32] to have 45 channels, but got 18 channels instead"
fuzz_pt_2326043a,Crash,1.0,4051,6,"Flatten,BatchNorm2d,ReLU,MaxPool2d,Conv2d,MaxPool2d","[4, 34, 128, 128]",expected 4D input (got 2D input)
fuzz_pt_8534ec88,Crash,2.22,2964,4,"ReLU,Flatten,MaxPool2d,AvgPool2d","[1, 3506]",non-empty 3D or 4D (batch mode) tensor expected for input
fuzz_pt_056c7216,Success,22.08,1679,1,MaxPool2d,"[16, 63, 256, 128]",None
fuzz_pt_72134c22,Crash,26.0,3393,3,"ReLU,ReLU,Conv2d","[128, 41, 32, 128]","Given groups=1, weight of size [33, 5, 5, 5], expected input[128, 41, 32, 128] to have 5 channels, but got 41 channels instead"
fuzz_pt_fde37e61,Crash,1.0,2914,3,"BatchNorm2d,AvgPool2d,ReLU","[256, 2324]",expected 4D input (got 2D input)
fuzz_pt_2dfc097d,Crash,1.51,1906,3,"ReLU,Flatten,BatchNorm2d","[128, 23, 64, 16]",expected 4D input (got 2D input)
fuzz_pt_860c6f09,Crash,1.0,1641,2,"ReLU,Linear","[16, 50000]",mat1 and mat2 shapes cannot be multiplied (16x50000 and 972x602)
fuzz_pt_6a424df5,Crash,1.0,1782,1,Linear,"[1, 5, 128, 256]",mat1 and mat2 shapes cannot be multiplied (640x256 and 196x308)
fuzz_pt_3facdad4,Crash,1.0,2306,2,"Flatten,Conv2d","[16, 29, 256, 32]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [16, 237568]"
fuzz_pt_eb1d92d1,Success,1324.85,1800,1,Flatten,"[256, 2377]",None
fuzz_pt_bb1b3d97,Crash,80.34,2838,4,"Flatten,ReLU,BatchNorm2d,AvgPool2d","[16, 51, 1024, 256]",expected 4D input (got 2D input)
fuzz_pt_d57880a9,Crash,1.0,4848,5,"Linear,MaxPool2d,ReLU,Flatten,Linear","[4, 28, 16, 16]",mat1 and mat2 shapes cannot be multiplied (1792x16 and 867x741)
fuzz_pt_e1e663c8,Crash,1.0,4654,6,"MaxPool2d,Conv2d,BatchNorm2d,BatchNorm2d,MaxPool2d,Conv2d","[1, 27, 128, 16]","Given groups=1, weight of size [27, 5, 3, 3], expected input[1, 27, 42, 5] to have 5 channels, but got 27 channels instead"
fuzz_pt_30a52cb6,Crash,1.08,2296,2,"Conv2d,MaxPool2d","[64, 1727]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [64, 1727]"
fuzz_pt_f974f59e,Crash,1.01,4517,5,"AvgPool2d,Conv2d,Linear,AvgPool2d,MaxPool2d","[1, 35, 256, 1024]","Given groups=1, weight of size [23, 51, 1, 1], expected input[1, 35, 85, 341] to have 51 channels, but got 35 channels instead"
fuzz_pt_03f1a2a9,Crash,1.0,2809,3,"ReLU,Conv2d,AvgPool2d","[64, 1556]","Expected 3D (unbatched) or 4D (batched) input to conv2d, but got input of size: [64, 1556]"
fuzz_pt_e67ad228,Crash,1.0,2771,2,"Linear,Conv2d","[256, 1589]",mat1 and mat2 shapes cannot be multiplied (256x1589 and 258x917)
fuzz_pt_82db1680,Timeout,3316.62,1253,1,Flatten,"[256, 3618]",TimeoutError: Execution exceeded maximum allowed time (2s)
fuzz_pt_59433688,Success,1737.24,3542,3,"MaxPool2d,MaxPool2d,MaxPool2d","[16, 9, 32, 1024]",None
fuzz_pt_88e9d445,Crash,1.0,1559,1,Linear,"[64, 46, 64, 16]",mat1 and mat2 shapes cannot be multiplied (188416x16 and 174x726)
fuzz_pt_47c1b830,Success,523.69,1451,1,Flatten,"[4, 5, 128, 1024]",None
fuzz_pt_5a694aed,Crash,1.0,2612,3,"MaxPool2d,ReLU,Linear","[1, 9, 64, 128]",mat1 and mat2 shapes cannot be multiplied (288x64 and 1003x346)
